No,Wisata,Kategori,Lokasi,Tarif,Rating,Experience
1,Monumen Nasional,Budaya,Jakarta,15000,4.6,Edukasi
2,Monumen Nasional,Budaya,Jakarta,35000,4.6,Adrenalin
3,Monumen Nasional,Budaya,Jakarta,0,4.6,Relaksasi
4,Kota Tua,Budaya,jakarta,100000,4.6,Kuliner
5,Kota Tua,Budaya,Jakarta,50000,4.6,Fotografi
6,Kota Tua,Budaya,Jakarta,0,4.6,Relaksasi
7,Dunia Fantasi,Taman Hiburan,Jakarta,270000,4.6,Adrenalin
8,Dunia Fantasi,Taman Hiburan,Jakarta,250000,4.6,Kuliner
9,Dunia Fantasi,Taman Hiburan,Jakarta,500000,4.6,Belanja
10,Taman Mini Indonesia Indah (TMII),Taman Hiburan,Jakarta,10000,4.5,Relaksasi
11,Taman Mini Indonesia Indah (TMII),Taman Hiburan,Jakarta,70000,4.5,Edukasi
12,Taman Mini Indonesia Indah (TMII),Taman Hiburan,Jakarta,300000,4.5,Belanja
13,Atlantis Water Adventure,Taman Hiburan,Jakarta,220000,4.5,Adrenalin
14,Atlantis Water Adventure,Taman Hiburan,Jakarta,150000,4.5,Kuliner
15,Atlantis Water Adventure,Taman Hiburan,Jakarta,300000,4.5,Belanja
16,Taman Impian Jaya Ancol,Taman Hiburan,Jakarta,450000,4.5,Adrenalin
17,Taman Impian Jaya Ancol,Taman Hiburan,Jakarta,50000,4.5,Aktivitas Air
18,Taman Impian Jaya Ancol,Taman Hiburan,Jakarta,200000,4.5,Kuliner
19,Kebun Binatang Ragunan,Cagar Alam,Jakarta,25000,4.5,Relaksasi
20,Kebun Binatang Ragunan,Cagar Alam,Jakarta,100000,4.5,Edukasi
21,Kebun Binatang Ragunan,Cagar Alam,Jakarta,100000,4.5,Belanja
22,Ocean Ecopark,Taman Hiburan,Jakarta,100000,4.0,Adrenalin
23,Ocean Ecopark,Taman Hiburan,Jakarta,30000,4.0,Relaksasi
24,Ocean Ecopark,Taman Hiburan,Jakarta,100000,4.0,Kuliner
25,Pelabuhan Marina,Bahari,Jakarta,700000,4.4,Aktivitas Air
26,Pelabuhan Marina,Bahari,Jakarta,20000,4.4,Relaksasi
27,Pelabuhan Marina,Bahari,Jakarta,150000,4.4,Kuliner
28,Pulau Tidung,Bahari,Jakarta,150000,4.5,Aktivitas Air
29,Pulau Tidung,Bahari,Jakarta,100000,4.5,Relaksasi
30,Pulau Tidung,Bahari,Jakarta,150000,4.5,Kuliner
31,Pulau Bidadari,Bahari,Jakarta,100000,4.6,Aktivitas Air
32,Pulau Bidadari,Bahari,Jakarta,100000,4.6,Relaksasi
33,Pulau Bidadari,Bahari,Jakarta,500000,4.6,Fotografi
34,Pulau Pari,Bahari,Jakarta,150000,4.0,Aktivitas Air
35,Pulau Pari,Bahari,Jakarta,50000,4.0,Relaksasi
36,Pulau Pari,Bahari,Jakarta,150000,4.0,Kuliner
37,Pulau Pramuka,Bahari,Jakarta,150000,4.2,Aktivitas Air
38,Pulau Pramuka,Bahari,Jakarta,50000,4.2,Relaksasi
39,Pulau Pramuka,Bahari,Jakarta,150000,4.2,Kuliner
40,Pulau Pelangi,Bahari,Jakarta,150000,4.8,Aktivitas Air
41,Pulau Pelangi,Bahari,Jakarta,50000,4.8,Relaksasi
42,Pulau Pelangi,Bahari,Jakarta,150000,4.8,Kuliner
43,Pasar Seni,Pusat Perbelanjaan,Jakarta,500000,4.4,Belanja
44,Pasar Seni,Pusat Perbelanjaan,Jakarta,100000,4.4,Kuliner
45,Pasar Seni,Pusat Perbelanjaan,Jakarta,30000,4.4,Edukasi
46,Jembatan Kota Intan,Budaya,Jakarta,15000,4.3,Fotografi
47,Jembatan Kota Intan,Budaya,Jakarta,0,4.3,Edukasi
48,Museum Fatahillah,Budaya,Jakarta,10000,4.4,Edukasi
49,Museum Fatahillah,Budaya,Jakarta,150000,4.4,Belanja
50,Museum Bank Indonesia,Budaya,Jakarta,10000,4.7,Edukasi
51,Museum Bank Indonesia,Budaya,Jakarta,150000,4.7,Belanja
52,Kidzania,Taman Hiburan,Jakarta,100000,4.6,Adrenalin
53,Kidzania,Taman Hiburan,Jakarta,350000,4.6,Edukasi
54,Kidzania,Taman Hiburan,Jakarta,200000,4.6,Belanja
55,Museum Taman Prasasti,Budaya,Jakarta,15000,4.5,Edukasi
56,Museum Taman Prasasti,Budaya,Jakarta,20000,4.5,Fotografi
57,Museum Taman Prasasti,Budaya,Jakarta,100000,4.5,Belanja
58,Museum Wayang,Budaya,Jakarta,20000,4.5,Edukasi
59,Museum Wayang,Budaya,Jakarta,20000,4.5,Fotografi
60,Museum Wayang,Budaya,Jakarta,200000,4.5,Belanja
61,Masjid Istiqlal,Tempat Ibadah,Jakarta,0,4.7,Spiritualitas
62,Masjid Istiqlal,Tempat Ibadah,Jakarta,200000,4.7,Belanja
63,Gereja Katedral,Tempat Ibadah,Jakarta,0,4.8,Spiritualitas
64,Gereja Katedral,Tempat Ibadah,Jakarta,0,4.8,Edukasi
65,Gereja Katedral,Tempat Ibadah,Jakarta,100000,4.8,Belanja
66,Museum Nasional,Budaya,Jakarta,20000,4.6,Edukasi
67,Museum Nasional,Budaya,Jakarta,150000,4.6,Belanja
68,Pasar Tanah Abang,Pusat Perbelanjaan,Jakarta,0,4.0,Relaksasi
69,Pasar Tanah Abang,Pusat Perbelanjaan,Jakarta,200000,4.0,Belanja
70,Pasar Tanah Abang,Pusat Perbelanjaan,Jakarta,50000,4.0,Kuliner
71,Pecinan Glodok,Pusat Perbelanjaan,Jakarta,0,4.3,Relaksasi
72,Pecinan Glodok,Pusat Perbelanjaan,Jakarta,500000,4.3,Belanja
73,Pecinan Glodok,Pusat Perbelanjaan,Jakarta,100000,4.3,Kuliner
74,Sea World,Taman Hiburan,Jakarta,100000,4.5,Adrenalin
75,Sea World,Taman Hiburan,Jakarta,250000,4.5,Relaksasi
76,Sea World,Taman Hiburan,Jakarta,200000,4.5,Belanja
77,Wisata Agro Edukatif Istana Susu Cibugary,Taman Hiburan,Jakarta,50000,4.5,Adrenalin
78,Wisata Agro Edukatif Istana Susu Cibugary,Taman Hiburan,Jakarta,100000,4.5,Edukasi
79,Wisata Agro Edukatif Istana Susu Cibugary,Taman Hiburan,Jakarta,200000,4.5,Belanja
80,Wisata Kuliner Pecenongan,Pusat Perbelanjaan,Jakarta,200000,5.0,Belanja
81,Wisata Kuliner Pecenongan,Pusat Perbelanjaan,Jakarta,15000,5.0,Kuliner
82,Taman Menteng,Taman Hiburan,Jakarta,0,4.5,Relaksasi
83,Taman Menteng,Taman Hiburan,Jakarta,50000,4.5,Olahraga
84,Wisata Alam Mangrove Angke,Cagar Alam,Jakarta,0,4.3,Relaksasi
85,Wisata Alam Mangrove Angke,Cagar Alam,Jakarta,30000,4.3,Edukasi
86,Wisata Alam Mangrove Angke,Cagar Alam,Jakarta,100000,4.3,Aktivitas Air
87,Setu Babakan,Budaya,Jakarta,0,4.4,Relaksasi
88,Setu Babakan,Budaya,Jakarta,100000,4.4,Belanja
89,Setu Babakan,Budaya,Jakarta,50000,4.4,Aktivitas Air
90,Taman Suropati,Taman Hiburan,Jakarta,0,4.6,Relaksasi
91,Taman Suropati,Taman Hiburan,Jakarta,0,4.6,Edukasi
92,Taman Suropati,Taman Hiburan,Jakarta,50000,4.6,Kuliner
93,Pasar Taman Puring,Pusat Perbelanjaan,Jakarta,300000,4.4,Belanja
94,Pasar Taman Puring,Pusat Perbelanjaan,Jakarta,50000,4.4,Kuliner
95,Grand Indonesia Mall,Pusat Perbelanjaan,Jakarta,300000,4.7,Belanja
96,Grand Indonesia Mall,Pusat Perbelanjaan,Jakarta,500000,4.7,Relaksasi
97,Grand Indonesia Mall,Pusat Perbelanjaan,Jakarta,500000,4.7,Kuliner
98,Skyrink - Mall Taman Anggrek,Taman Hiburan,Jakarta,150000,4.5,Adrenalin
99,Skyrink - Mall Taman Anggrek,Taman Hiburan,Jakarta,150000,4.5,Relaksasi
100,Bumi Perkemahan Cibubur,Taman Hiburan,Jakarta,250000,4.5,Camping
101,Bumi Perkemahan Cibubur,Taman Hiburan,Jakarta,50000,4.5,Aktivitas Air
102,Bumi Perkemahan Cibubur,Taman Hiburan,Jakarta,40000,4.5,Olahraga
